N-PSA,VNS1,VNS10,VNS30,B&BA,BN-PSA,BVNS30
3026,3012,3012,3012,4124,3135,3012
3092,3015,2993,2993,4909,2993,2993
3075,3045,2980,2980,4589,3049,2980
3257,3268,3221,3247,5253,3223,3221
3986,3959,3948,3948,5444,3980,3948
3130,3078,3078,3059,3961,3220,3078
3359,3345,3336,3336,5412,3390,3336
3367,3248,3248,3248,3932,3248,3248
2831,2831,2831,2831,3705,2831,2831
2984,3058,2978,2978,4022,3073,2978
26179,26129,25980,25983,27682,26310,25961
25039,24568,24575,24556,27397,24818,24547
25196,25014,24945,24882,28231,25423,24885
28054,27714,27490,27350,30484,27870,27422
26269,26192,26187,26138,27249,26207,26138
25484,25083,25054,25015,28929,26171,25054
27240,26770,26742,26755,28826,27219,26739
23573,23362,23310,23242,24956,23372,23310
26288,25847,25690,25611,27641,25997,25774
25611,25891,25576,25605,28153,26063,25604
72008,71258,71168,71156,75368,71931,71206
78485,78836,77663,77705,81703,78888,77903
72603,72299,71879,71867,75826,72943,71882
75160,73618,73618,73403,77370,75598,73490
77657,76938,76783,76888,82382,77745,76691
80658,80017,79760,79672,85160,81168,79635
73146,73087,72361,72144,75823,73378,72334
82090,80836,80803,80582,83730,81424,80509
71318,70536,70393,70183,73931,71578,70250
74573,74158,73837,73855,78489,75468,73914
2901,2901,2882,2882,3665,2901,2882
4266,4165,4165,4165,4557,4166,4165
3487,3407,3407,3407,4487,3407,3407
3813,3689,3663,3663,5232,3692,3663
3298,3286,3194,3194,4747,3321,3194
3699,3676,3660,3660,4649,3729,3660
2701,2701,2697,2697,3499,2712,2697
3423,3409,3406,3406,4428,3423,3406
3301,3301,3301,3301,4108,3409,3301
3127,3120,3120,3120,3624,3127,3120
29350,29224,28894,28875,31009,29138,28868
26097,25684,25563,25494,28083,26045,25548
27594,26958,26774,26801,28841,27553,26765
27167,26671,26477,26670,30025,27366,26823
26397,26229,26110,26175,28150,26394,26151
25143,25093,25033,24870,28364,25591,24918
25907,25629,25325,25381,30056,25754,25391
27456,27194,27116,27129,28944,28011,27090
26885,26831,26656,26716,28157,26910,26675
26515,26562,26419,26493,29420,26792,26436
75048,74631,73932,73857,76286,74640,74153
74606,73476,73477,73428,77624,74955,73431
75242,74673,74179,74086,77595,74897,74404
72688,71729,71558,71667,75181,72442,71436
75566,74705,74705,74520,77267,75610,74446
74834,73812,73789,73691,77623,74657,73688
72308,71455,70931,70822,75274,71767,70927
76748,76084,75903,75765,80292,76872,75786
72925,70811,70455,70256,73789,71785,70560
72800,71240,71209,71077,75859,71642,71001
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
10504,10261,10261,10261,13992,10336,10261
6179,6009,6009,6009,10154,6093,6009
15324,15163,14999,14930,21482,15282,14975
9042,8718,8687,8687,14565,8777,8687
6481,6433,6376,6376,9106,6432,6376
7049,6894,6878,6861,12589,7125,6877
4969,4969,4969,4969,9702,4970,4969
4124,4106,4106,4106,5529,4118,4106
6992,6823,6832,6823,9647,6977,6824
5388,5440,5371,5371,8818,5488,5371
46587,46335,46250,46257,53758,46441,46257
50763,49936,49696,49198,59468,49796,49139
39728,39384,39256,39271,48428,40281,39241
49597,48627,48426,48341,55073,49180,48319
65170,64249,64365,64274,71110,64914,64316
47466,47339,47339,47102,54884,47407,47133
42142,41356,40983,41065,52443,41857,41089
52178,51471,51166,51098,61406,52918,51107
44143,43381,43256,43063,51261,44116,42984
65401,64036,63616,63348,68068,66351,63370
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
7081,6818,6818,6818,10493,7030,6818
6440,6398,6279,6279,8501,6417,6310
7364,7364,7364,7364,11142,7510,7364
5665,5170,5170,5170,7562,5344,5170
7536,7025,7022,7022,10125,7046,7022
11693,11617,11545,11522,17606,11900,11513
5001,5001,4824,4824,9885,5093,4824
5658,5613,5608,5608,9257,5625,5608
12102,11344,11351,11344,19137,11872,11344
6156,6050,6004,5976,8043,6096,5976
52128,50914,50895,50914,59781,52205,50900
53638,53014,52890,52790,61968,54096,52780
54673,53876,53186,53034,59444,54656,53140
62438,61606,61306,61219,66411,62005,61375
42012,40664,40443,40531,49720,41784,40610
58162,56896,56876,56794,63900,58562,56761
58284,57685,57664,57554,65425,58375,57638
53425,52001,51926,51956,62093,52955,51990
54491,53539,53353,53209,61010,54374,53246
57165,55649,54753,54654,62742,56513,54863
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11018,11177,10936,10909,16976,11073,10909
19751,19579,19269,19256,26483,20205,19343
7020,6997,6997,6997,9640,7159,6997
6809,6754,6754,6754,10390,6867,6754
5075,5106,5048,5048,7371,5163,5048
10894,10208,10171,10160,15767,10495,10166
13807,13245,12849,12856,21828,14008,12872
8558,8299,8299,8299,12585,8677,8299
5829,5596,5601,5596,8396,5773,5596
7627,7429,7397,7375,10431,7481,7375
62061,61637,59678,59925,66309,62211,59546
44237,44275,43548,43287,53409,43792,43423
50955,49176,48447,48663,58000,49668,48715
63801,63681,63477,62953,71165,64254,63004
67190,66232,66075,65861,72445,68306,65930
59723,59639,59178,58828,67803,60023,58783
45882,44972,45014,45014,56317,45996,45160
44026,43689,43605,43661,52837,44118,43675
47059,46547,45847,45788,53490,46841,45716
42269,41566,41566,41566,49149,42830,41535
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,822,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
120,120,120,120,199,168,120
