N-PSA,VNS30,B&BA
2142,2142,2142
1672,1672,1672
1919,1919,1919
1627,1627,1627
1008,1008,1008
2139,2138,2138
1826,1826,1826
2153,2153,2153
583,583,583
352,352,352
2175,2175,2175
1344,1344,1344
830,830,830
866,863,863
1909,1909,1909
561,561,561
1494,1494,1494
850,850,850
1830,1830,1830
1892,1892,1892
1632,1632,1632
871,859,859
2502,2502,2502
1238,1238,1238
1667,1667,1667
1524,1524,1524
2221,2221,2221
2296,2296,2296
2882,2882,2882
1656,1656,1656
1126,1126,1126
1425,1425,1425
1557,1557,1557
1594,1594,1594
873,873,873
1633,1633,1633
1804,1792,1792
1626,1619,1619
903,903,903
3163,3163,3163
930,930,930
1524,1524,1524
3442,3442,3442
1615,1615,1615
671,671,671
2793,2793,2793
1688,1688,1688
441,441,441
1770,1770,1770
2387,2387,2387
1879,1879,1879
752,752,752
3801,3801,3801
1582,1582,1582
1973,1973,1973
1282,1282,1282
780,780,780
1848,1848,1848
853,853,853
1990,1990,1990
1421,1421,1421
2077,2077,2077
1739,1739,1739
3360,3360,3360
3190,3156,3156
3295,3295,3295
1204,1204,1204
1150,1150,1150
3353,3353,3353
1565,1565,1565
1407,1407,1407
1770,1770,1770
1517,1517,1517
1583,1583,1583
2030,2030,2030
1975,1975,1975
1942,1942,1942
2459,2459,2459
1627,1627,1627
1936,1936,1936
2119,2119,2119
1943,1943,1943
2712,2712,2712
3638,3638,3638
2074,2074,2074
1514,1514,1514
2460,2460,2460
2947,2947,2947
1760,1760,1760
2637,2637,2637
3322,3322,3322
1272,1272,1272
1901,1901,1901
2273,2273,2273
1701,1701,1701
3374,3374,3374
3078,3078,3078
2105,2105,2105
2251,2251,2251
2004,2004,2004
1276,1276,1276
1266,1266,1266
2478,2478,2478
2049,2049,2049
2392,2392,2392
2601,2601,2601
3199,3188,3188
2627,2627,2627
1983,1983,1983
2682,2673,2673
1267,1267,1267
2392,2392,2392
1202,1202,1202
3417,3417,3417
1494,1494,1494
894,894,894
1295,1295,1295
3349,3349,3349
1277,1274,1274
1501,1501,1501
2740,2740,2740
4430,4430,4430
4901,4901,4901
1216,1216,1216
2454,2454,2454
3498,3490,3490
2472,2450,2450
2018,2018,2018
1256,1256,1256
2964,2958,2958
2233,2233,2233
3011,3011,3011
